"noms","longitude","latitude"
"pal3-mo-600-4",-61.6733270033864,47.5529751010155
"pal3-mo-600-5",-61.6710874210724,47.5527454378789
"pal3-pr-100-1",-61.6666332672226,47.5536613441239
"pal3-pr-100-2",-61.6680194148858,47.5528432463117
"pal3-pr-100-3",-61.6668994041201,47.5534627089499
"pal3-pr-100-4",-61.6683935463657,47.5523884623921
"pal3-pr-100-5",-61.6684859586046,47.5521962737942
"pal3-pr-1100-1",-61.6743978400484,47.5568242900481
"pal3-pr-1100-2",-61.6736736926786,47.5576422394026
"pal3-pr-1100-3",-61.6765159492075,47.559768288178
"pal3-pr-1100-4",-61.6757215754019,47.5593343087922
"pal3-pr-1100-5",-61.6738008868471,47.5562996836558
"pal3-pr-600-1",-61.6731757879245,47.5556370075439
"pal3-pr-600-2",-61.6709698574553,47.5564032030661
"pal3-pr-600-3",-61.6701947276796,47.555186697723
"pal3-pr-600-4",-61.6717310679688,47.5560499874404
"pal3-pr-600-5",-61.6689127719366,47.5547142467802
"pal4-el-100-1",-61.6610988812549,47.55764949235
"pal4-el-100-2",-61.6598507467043,47.557510480946
"pal4-el-100-3",-61.6599819494688,47.5580262008498
"pal4-el-100-4",-61.6602819611491,47.5576200589459
"pal4-el-100-5",-61.6593898318164,47.5577736044924
"pal4-el-1100-1",-61.6655371904681,47.5621730901635
"pal4-el-1100-2",-61.6672937000218,47.5631791726861
"pal4-el-1100-3",-61.6652306407838,47.5617458811014
"pal4-el-1100-4",-61.666887955502,47.5633966354469
"pal4-el-1100-5",-61.6685273041245,47.5632180478
"pal4-el-600-1",-61.6658458028122,47.5608339935942
"pal4-el-600-2",-61.6636353347375,47.5615449324235
"pal4-el-600-3",-61.6635001476961,47.5601711037926
"pal4-el-600-4",-61.6619595704478,47.5593992934415
"pal4-el-600-5",-61.6624734738646,47.5598249172369
"pal4-mo-100-1",-61.662440740115,47.5567372920395
"pal4-mo-100-2",-61.6632674691024,47.556054575334
"pal4-mo-100-3",-61.6616075105378,47.5562924737217
"pal4-mo-100-4",-61.6626835221784,47.5562946480864
"pal4-mo-100-5",-61.663615722045,47.5551320160751
"pal4-mo-1100-1",-61.669429252354,47.5621205946573
"pal4-mo-1100-2",-61.6680347536609,47.5613289789021
"pal4-mo-1100-3",-61.6724789578177,47.5623488632796
"pal4-mo-1100-4",-61.6707582970578,47.5631336953336
"pal4-mo-1100-5",-61.6712262707997,47.5624951141131
"pal4-mo-600-1",-61.6647620521649,47.5571572884524
"pal4-mo-600-2",-61.6638293474286,47.55677069955
"pal4-mo-600-3",-61.664015446898,47.5575081954623
"pal4-mo-600-4",-61.6629590023119,47.5574219651914
"pal4-mo-600-5",-61.6672784545077,47.5587240165416
"pal4-pr-100-1",-61.6666919553642,47.5544177755699
"pal4-pr-100-2",-61.6660525833555,47.5547800857512
"pal4-pr-100-3",-61.664424971535,47.5549179708613
"pal4-pr-100-4",-61.664801361803,47.5545520393516
"pal4-pr-100-5",-61.6649175255524,47.5551367403467
"pal4-pr-1100-1",-61.6714425940648,47.55852082606
"pal4-pr-1100-2",-61.6702779715783,47.5590893942886
"pal4-pr-1100-3",-61.6732496185517,47.5621124809849
"pal4-pr-1100-4",-61.6750686811395,47.5609738522827
"pal4-pr-1100-5",-61.6719088743071,47.5587617276358
"pal4-pr-600-1",-61.6658335667731,47.5551747431587
"pal4-pr-600-2",-61.6660701339343,47.5565407357538
"pal4-pr-600-3",-61.6671593974785,47.5566859546093
